,series_animedb_id,series_title,series_type,series_episodes,my_watched_episodes,my_status,completion_rate
146,790.0,Ergo Proxy,TV,23.0,23.0,Completed,100.0
147,32901.0,Eromanga-sensei,TV,12.0,12.0,Completed,100.0
148,2759.0,Evangelion Movie 1: Jo,Movie,1.0,1.0,Completed,100.0
149,3784.0,Evangelion Movie 2: Ha,Movie,1.0,1.0,Completed,100.0
150,3785.0,Evangelion Movie 3: Q,Movie,1.0,1.0,Completed,100.0
151,6702.0,Fairy Tail,TV,175.0,175.0,Completed,100.0
152,22043.0,Fairy Tail (2014),TV,102.0,102.0,Completed,100.0
153,35972.0,Fairy Tail: Final Series,TV,51.0,51.0,Completed,100.0
154,31376.0,Flying Witch,TV,12.0,12.0,Completed,100.0
155,36704.0,Free! Dive to the Future,TV,12.0,12.0,Completed,100.0
156,38680.0,Fruits Basket 1st Season,TV,25.0,25.0,Completed,100.0
157,40417.0,Fruits Basket 2nd Season,TV,25.0,25.0,Completed,100.0
158,42938.0,Fruits Basket: The Final,TV,13.0,13.0,Completed,100.0
159,41120.0,Fugou Keiji: Balance:Unlimited,TV,11.0,11.0,Completed,100.0
160,121.0,Fullmetal Alchemist,TV,51.0,51.0,Completed,100.0
161,5114.0,Fullmetal Alchemist: Brotherhood,TV,64.0,64.0,Completed,100.0
162,33731.0,Gabriel DropOut,TV,12.0,12.0,Completed,100.0
163,35222.0,Gakuen Babysitters,TV,12.0,12.0,Completed,100.0
164,34280.0,Gamers!,TV,12.0,12.0,Completed,100.0
165,52481.0,Gimai Seikatsu,TV,12.0,12.0,Completed,100.0
166,918.0,Gintama,TV,201.0,201.0,Completed,100.0
167,9969.0,Gintama',TV,51.0,51.0,Completed,100.0
168,39533.0,Given,TV,11.0,11.0,Completed,100.0
169,17895.0,Golden Time,TV,24.0,24.0,Completed,100.0
170,37105.0,Grand Blue,TV,12.0,12.0,Completed,100.0
171,40052.0,Great Pretender,TV,23.0,23.0,Completed,100.0
172,245.0,Great Teacher Onizuka,TV,43.0,43.0,Completed,100.0
173,10793.0,Guilty Crown,TV,22.0,22.0,Completed,100.0
174,10271.0,Gyakkyou Burai Kaiji: Hakairoku-hen,TV,26.0,16.0,Dropped,61.53846153846154
175,3002.0,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26.0,26.0,Completed,100.0
176,20583.0,Haikyuu!!,TV,25.0,25.0,Completed,100.0
177,11785.0,Haiyore! Nyaruko-san,TV,12.0,12.0,Completed,100.0
178,263.0,Hajime no Ippo,TV,75.0,75.0,Completed,100.0
179,34403.0,Hajimete no Gal,TV,10.0,10.0,Completed,100.0
180,35889.0,Hakata Tonkotsu Ramens,TV,12.0,12.0,Completed,100.0
181,55597.0,Hananoi-kun to Koi no Yamai,TV,12.0,12.0,Completed,100.0
182,32648.0,Handa-kun,TV,12.0,12.0,Completed,100.0
183,37517.0,Happy Sugar Life,TV,12.0,12.0,Completed,100.0
184,15809.0,Hataraku Maou-sama!,TV,13.0,13.0,Completed,100.0
185,53200.0,Hataraku Maou-sama!! 2nd Season,TV,12.0,12.0,Completed,100.0
186,5630.0,Higashi no Eden,TV,11.0,11.0,Completed,100.0
187,11617.0,High School DxD,TV,12.0,12.0,Completed,100.0
188,8074.0,Highschool of the Dead,TV,12.0,12.0,Completed,100.0
189,41006.0,Higurashi no Naku Koro ni Gou,TV,24.0,24.0,Completed,100.0
190,28825.0,Himouto! Umaru-chan,TV,12.0,12.0,Completed,100.0
191,35376.0,Himouto! Umaru-chan R,TV,12.0,12.0,Completed,100.0
192,33948.0,Hinako Note,TV,12.0,12.0,Completed,100.0
193,37614.0,Hitoribocchi no Marumaru Seikatsu,TV,12.0,12.0,Completed,100.0
194,33241.0,Honobono Log,TV,10.0,10.0,Completed,100.0
195,42897.0,Horimiya,TV,13.0,13.0,Completed,100.0
196,54856.0,Horimiya: Piece,TV,13.0,13.0,Completed,100.0
197,37972.0,Hoshiai no Sora,TV,12.0,12.0,Completed,100.0
198,10408.0,Hotarubi no Mori e,Movie,1.0,1.0,Completed,100.0
